Label,Train_proposed,Train_traditional,Train_thresh,Test_proposed,Test_traditional,Test_thresh
ACC,0.9949899799599199,0.871993987975952,0.8486973947895792,0.8218410920546028,0.7234861743087154,0.7542877143857193
FP,0.0027555110220440883,0.08842685370741483,0.07064128256513026,0.1008050402520126,0.18865943297164858,0.10360518025901296
FN,0.0022545090180360722,0.039579158316633264,0.08066132264529058,0.07735386769338468,0.08785439271963598,0.14210710535526777
TP,0.49899799599198397,0.4616733466933868,0.4205911823647295,0.4546727336366818,0.4441722086104305,0.38991949597479875
TN,0.49599198396793587,0.4103206412825651,0.4281062124248497,0.3671683584179209,0.2793139656982849,0.36436821841092054
