Sample_input,Actual,Proposed,Traditional
0,1387.5793457031252,1591.8389960926552,1459.1197992098012
0,1356.4514160156252,1388.3703135679527,1235.917553289386
1,1449.8352050781252,1611.1374380873326,1188.9932180468772
1,1460.2111816406252,1633.4033807435949,1355.4665711237012
1,1615.8508300781252,1528.4365513980738,1368.0043179874049
1,1615.8508300781252,1695.123425304803,1364.3892951313105
1,1626.2268066406252,1739.143823890331,1535.1125088719184
1,1864.8742675781252,1679.1501438186826,1470.5046728034176
1,1989.3859863281252,1693.497495854101,1450.9448880291586
1,1854.4982910156252,1742.8001580353273,1492.0089948890925
1,1854.4982910156252,1845.599002713292,1434.447837042023
1,1958.2580566406252,1910.692241684954,1683.6989221229371
1,1906.3781738281252,1942.2764971741533,1655.3523777653656
1,1927.1301269531252,2010.831130469258,1850.2199827323818
1,1958.2580566406252,1977.309188231836,1769.113766855588
1,1999.7619628906252,1998.235134819482,1781.7064673394993
1,1999.7619628906252,1948.1289963022307,1927.4876320049716
1,2072.393798828125,1993.3480657978096,1748.6241209334926
1,1989.3859863281252,1893.2005820116765,1821.8183282040172
1,2176.153564453125,2001.5469692051022,1957.8320144809006
1,2134.649658203125,2111.621138994365,1969.9189651923427
1,2331.793212890625,2277.507097034338,2044.3507577858438
1,2331.793212890625,2224.3026124876487,2102.10821415554
1,2124.273681640625,2136.643888825647,2081.711363741913
1,1802.6184082031252,2297.482349685879,2077.6895476200357
1,2082.769775390625,2075.2528560264655,2061.2286638195596
1,2279.913330078125,2154.8612025426382,2233.021937954677
1,2238.409423828125,1948.8975636646041,2087.7739718815847
1,2134.649658203125,2172.775357008581,2027.5466272518684
1,2207.281494140625,2246.307218590407,2005.1994874045863
1,2311.041259765625,2298.5099878642254,2116.1305441232967
1,2373.297119140625,2166.1162932672387,2201.646360455176
1,2113.897705078125,2205.1629725144558,1972.0271846384312
1,2248.785400390625,2137.791148555102,2002.4604889481084
1,2238.409423828125,2140.6670636470294,2087.3163130925172
1,2207.281494140625,2080.631772655518,2169.1137189374567
1,2155.401611328125,1967.3454149631555,2158.503354731818
1,2352.545166015625,2083.531042715824,2165.4861219643276
1,2383.673095703125,2151.7747946827644,2044.7535093456272
1,2259.161376953125,2183.8327061660702,2106.477240991251
1,2155.401611328125,2499.705604032416,2173.1847377164886
1,2290.289306640625,2301.2003252270456,2106.3942006178872
1,2259.161376953125,2152.9495281260247,2070.060884497198
1,2508.184814453125,2179.9226215666713,2173.2881034034313
1,2394.049072265625,2478.0256506690985,2181.4577566362273
1,2238.409423828125,2304.308366606695,2087.8279266737677
1,2217.657470703125,2212.697624008166,2213.386589452932
1,2207.281494140625,2259.1941381650804,2126.779963784135
1,2269.537353515625,2291.3870510141164,2078.800109872559
1,2248.785400390625,2515.030074838986,2211.9728384410287
1,2196.905517578125,2298.5869631265887,2040.4184297062418
1,2062.017822265625,2262.2231733129693,2185.137749394682
1,2176.153564453125,2227.4642281554798,2257.5832175435626
1,2134.649658203125,2280.895568145019,2090.1676653899735
1,2497.808837890625,2196.9216448668662,2263.837541721575
1,2290.289306640625,2186.658903086061,2134.0118155793393
1,2425.177001953125,2152.6688638194746,2229.249725716798
1,2477.056884765625,2099.0276002867995,2054.9709919301963
1,2145.025634765625,2206.2827027733874,2111.1699495127214
1,2196.905517578125,2343.1415079241447,2266.9965009428124
1,2217.657470703125,2409.490511346571,2114.600966473323
1,2196.905517578125,2337.6889850752314,2086.6880031506385
1,2321.417236328125,2482.769475878782,1991.8367855538063
1,2404.425048828125,2424.5063287314483,2041.063432473493
1,2269.537353515625,2632.0358845589462,2162.583615865034
1,2072.393798828125,2553.855831091394,2048.964284185469
1,2228.033447265625,2330.315334147168,2043.9004893262986
1,2186.529541015625,2432.851757417677,2206.747209807453
1,2290.289306640625,2379.953877513286,2130.702412944167
1,2279.913330078125,2194.5542606203285,2011.3804177735092
1,2041.2658691406252,2354.6793683378773,2078.8050559213607
1,2269.537353515625,2331.979341297233,1973.772260318003
1,2196.905517578125,2153.3754432974483,2082.382518026408
1,2238.409423828125,2378.243298996906,2075.007223279811
1,2124.273681640625,2235.9991693028255,1937.080069984552
1,2124.273681640625,2249.3174305948105,2036.052865700804
1,2165.777587890625,2208.653335232687,1982.413026264691
1,2259.161376953125,2030.7540320421292,1951.37769751611
1,2020.5139160156252,2188.3122351009474,1954.9254690061732
1,2269.537353515625,2287.3221759397807,2026.5731065952425
1,2093.145751953125,2446.230721254372,1955.5790660262435
1,2259.161376953125,2136.9522763145055,2013.751509404284
1,2300.665283203125,2180.5301006742784,1892.3397676838588
1,2072.393798828125,1985.1667526709982,2036.4136348021293
1,2124.273681640625,2285.1146662347637,2143.0844691925417
1,2134.649658203125,2231.020679312331,1907.7916730502257
1,2238.409423828125,2358.704731515421,1976.999328116683
1,2093.145751953125,2068.3359977306764,2179.3964460846105
1,2311.041259765625,2248.5654635051123,2220.862737369794
1,1999.7619628906252,2339.7879094719983,2179.579568950708
1,2041.2658691406252,2344.2907084735975,2007.4912174631788
1,2394.049072265625,2350.7316704156633,2092.407348279293
1,2093.145751953125,2516.3923662302336,2254.98858824225
1,2207.281494140625,2194.08002667019,2177.457473927102
1,2207.281494140625,2315.6821243060076,2270.278058188791
1,2259.161376953125,2097.9085364211633,2212.385325673086
1,2248.785400390625,2318.381126236599,2213.8899084739446
1,2466.680908203125,1992.8206849941553,2026.5239040795452
1,2425.177001953125,2340.344805391698,2144.6989785259493
1,2186.529541015625,2268.3257445874974,2119.875551177525
1,2238.409423828125,2320.543638304386,2191.2530444407093
1,2196.905517578125,1980.385433752336,2046.1146043081162
1,2217.657470703125,2301.058346542555,2039.31934136212
